Additional Surge,Base Capacity,Count Booking,Count Quotation,Date,Forecast-Act.,M-000,M-010,M-020,M-030,M-040,M-050,M-060,M-070,M-080,M-090,M-100,M-120,M-140,M-170,M-200,M-250,M-300,Manual Count Booking,Manual Count Quotation,Total DP,Total SP,Weekday,Yield
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-15,10,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,Tue,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-16,10,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,Wed,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-17,10,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,Thu,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-18,12,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12,12,Fri,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-19,11,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11,11,Sat,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-20,10,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,Sun,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-21,12,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12,12,Mon,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-22,10,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,Tue,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-23,11,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11,11,Wed,0.0% Drop
1,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2019-01-24,11,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7000000000000002,1.8,1.9,2,2.2,2.4,2.7,3,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11,11,Thu,0.0% Drop
